MATCH    @ [         17][         11]: spike=0, residue=24
MATCH    @ [         17][         12]: spike=1, residue=2
MATCH    @ [         17][         13]: spike=1, residue=4
MATCH    @ [         17][         14]: spike=0, residue=32
MATCH    @ [         17][         15]: spike=1, residue=1
MATCH    @ [         17][         16]: spike=1, residue=1
MATCH    @ [         17][         17]: spike=0, residue=32
MATCH    @ [         17][         18]: spike=1, residue=5
MATCH    @ [         17][         19]: spike=1, residue=1
MATCH    @ [         17][         20]: spike=1, residue=1
MATCH    @ [         18][          0]: spike=0, residue=29
MATCH    @ [         18][          1]: spike=1, residue=5
MATCH    @ [         18][          2]: spike=1, residue=1
MATCH    @ [         18][          3]: spike=0, residue=32
MATCH    @ [         18][          4]: spike=0, residue=28
MATCH    @ [         18][          5]: spike=0, residue=24
MATCH    @ [         18][          6]: spike=1, residue=8
MATCH    @ [         18][          7]: spike=1, residue=8
MATCH    @ [         18][          8]: spike=0, residue=30
MATCH    @ [         18][          9]: spike=0, residue=32
MATCH    @ [         18][         10]: spike=1, residue=6
MATCH    @ [         18][         11]: spike=1, residue=7
MATCH    @ [         18][         12]: spike=1, residue=7
MATCH    @ [         18][         13]: spike=1, residue=10
MATCH    @ [         18][         14]: spike=1, residue=3
MATCH    @ [         18][         15]: spike=0, residue=29
MATCH    @ [         18][         16]: spike=1, residue=4
MATCH    @ [         18][         17]: spike=1, residue=7
MATCH    @ [         18][         18]: spike=0, residue=30
MATCH    @ [         18][         19]: spike=1, residue=7
MATCH    @ [         18][         20]: spike=1, residue=7
MATCH    @ [         19][          0]: spike=1, residue=6
MATCH    @ [         19][          1]: spike=0, residue=30
MATCH    @ [         19][          2]: spike=1, residue=3
MATCH    @ [         19][          3]: spike=0, residue=32
MATCH    @ [         19][          4]: spike=1, residue=3
MATCH    @ [         19][          5]: spike=0, residue=28
MATCH    @ [         19][          6]: spike=0, residue=18
MATCH    @ [         19][          7]: spike=0, residue=31
MATCH    @ [         19][          8]: spike=1, residue=4
MATCH    @ [         19][          9]: spike=0, residue=32
MATCH    @ [         19][         10]: spike=1, residue=9
MATCH    @ [         19][         11]: spike=1, residue=4
MATCH    @ [         19][         12]: spike=0, residue=27
MATCH    @ [         19][         13]: spike=0, residue=20
MATCH    @ [         19][         14]: spike=0, residue=17
MATCH    @ [         19][         15]: spike=0, residue=21
MATCH    @ [         19][         16]: spike=1, residue=1
MATCH    @ [         19][         17]: spike=1, residue=11
MATCH    @ [         19][         18]: spike=1, residue=5
MATCH    @ [         19][         19]: spike=1, residue=4
MATCH    @ [         19][         20]: spike=1, residue=3
MATCH    @ [         20][          0]: spike=0, residue=31
MATCH    @ [         20][          1]: spike=1, residue=2
